#
# Shellcode detector
#
Executed before
0x77CCEB83::ntdll.dll  89 5D 98                mov dword ptr [ebp-0x68], ebx
0x77CCEB86::ntdll.dll  33 C0                   xor eax, eax
0x77CCEB88::ntdll.dll  66 89 03                mov word ptr [ebx], ax
0x77CCEB8B::ntdll.dll  0F B7 3E                movzx edi, word ptr [esi]
0x77CCEB8E::ntdll.dll  57                      push edi
0x77CCEB8F::ntdll.dll  FF 76 04                push dword ptr [esi+0x4]
0x77CCEB92::ntdll.dll  8D 43 02                lea eax, ptr [ebx+0x2]
0x77CCEB95::ntdll.dll  50                      push eax
0x77CCEB96::ntdll.dll  E8 55 55 FD FF          call 0x77ca40f0 -> memcpy
0x77CA40F0::ntdll.dll  55                      push ebp
0x77CA40F1::ntdll.dll  8B EC                   mov ebp, esp
0x77CA40F3::ntdll.dll  57                      push edi
0x77CA40F4::ntdll.dll  56                      push esi
0x77CA40F5::ntdll.dll  8B 75 0C                mov esi, dword ptr [ebp+0xc]
0x77CA40F8::ntdll.dll  8B 4D 10                mov ecx, dword ptr [ebp+0x10]
0x77CA40FB::ntdll.dll  8B 7D 08                mov edi, dword ptr [ebp+0x8]
0x77CA40FE::ntdll.dll  8B C1                   mov eax, ecx
0x77CA4100::ntdll.dll  8B D1                   mov edx, ecx
0x77CA4102::ntdll.dll  03 C6                   add eax, esi
0x77CA4104::ntdll.dll  3B FE                   cmp edi, esi
0x77CA4106::ntdll.dll  76 08                   jbe 0x77ca4110
0x77CA4108::ntdll.dll  3B F8                   cmp edi, eax
0x77CA410A::ntdll.dll  0F 82 7C 01 00 00       jb 0x77ca428c
0x77CA4110::ntdll.dll  F7 C7 03 00 00 00       test edi, 0x3
0x77CA4116::ntdll.dll  75 14                   jnz 0x77ca412c
0x77CA4110::ntdll.dll  F7 C7 03 00 00 00       test edi, 0x3
0x77CA4116::ntdll.dll  75 14                   jnz 0x77ca412c
0x77CA4118::ntdll.dll  C1 E9 02                shr ecx, 0x2
0x77CA411B::ntdll.dll  83 E2 03                and edx, 0x3
0x77CA411E::ntdll.dll  83 F9 08                cmp ecx, 0x8
0x77CA4121::ntdll.dll  72 29                   jb 0x77ca414c
0x77CA4123::ntdll.dll  F3 A5                   rep movsd dword ptr [edi], dword ptr [esi]
0x77CA412C::ntdll.dll  8B C7                   mov eax, edi
0x77CA412E::ntdll.dll  BA 03 00 00 00          mov edx, 0x3
0x77CA4133::ntdll.dll  83 E9 04                sub ecx, 0x4
0x77CA4136::ntdll.dll  72 0C                   jb 0x77ca4144
0x77CA4138::ntdll.dll  83 E0 03                and eax, 0x3
0x77CA413B::ntdll.dll  03 C8                   add ecx, eax
0x77CA413D::ntdll.dll  FF 24 85 50 41 CA 77    jmp dword ptr [eax*4+0x77ca4150]
0x77CA418C::ntdll.dll  23 D1                   and edx, ecx
0x77CA418E::ntdll.dll  8A 06                   mov al, byte ptr [esi]
0x77CA4190::ntdll.dll  88 07                   mov byte ptr [edi], al
0x77CA4192::ntdll.dll  8A 46 01                mov al, byte ptr [esi+0x1]
0x77CA4195::ntdll.dll  C1 E9 02                shr ecx, 0x2
0x77CA4198::ntdll.dll  88 47 01                mov byte ptr [edi+0x1], al
0x77CA419B::ntdll.dll  83 C6 02                add esi, 0x2
0x77CA419E::ntdll.dll  83 C7 02                add edi, 0x2
0x77CA41A1::ntdll.dll  83 F9 08                cmp ecx, 0x8
0x77CA41A4::ntdll.dll  72 A6                   jb 0x77ca414c
0x77CA41A6::ntdll.dll  F3 A5                   rep movsd dword ptr [edi], dword ptr [esi]
0x77CA414C::ntdll.dll  FF 24 8D D0 41 CA 77    jmp dword ptr [ecx*4+0x77ca41d0]
0x77CA4208::ntdll.dll  8B 44 8E F0             mov eax, dword ptr [esi+ecx*4-0x10]
0x77CA420C::ntdll.dll  89 44 8F F0             mov dword ptr [edi+ecx*4-0x10], eax
0x77CA4210::ntdll.dll  8B 44 8E F4             mov eax, dword ptr [esi+ecx*4-0xc]
0x77CA4214::ntdll.dll  89 44 8F F4             mov dword ptr [edi+ecx*4-0xc], eax
0x77CA4218::ntdll.dll  8B 44 8E F8             mov eax, dword ptr [esi+ecx*4-0x8]
0x77CA421C::ntdll.dll  89 44 8F F8             mov dword ptr [edi+ecx*4-0x8], eax
0x77CA4220::ntdll.dll  8B 44 8E FC             mov eax, dword ptr [esi+ecx*4-0x4]
0x77CA4224::ntdll.dll  89 44 8F FC             mov dword ptr [edi+ecx*4-0x4], eax
0x77CA4228::ntdll.dll  8D 04 8D 00 00 00 00    lea eax, ptr [ecx*4]
0x77CA422F::ntdll.dll  03 F0                   add esi, eax
0x77CA4231::ntdll.dll  03 F8                   add edi, eax
0x77CA4233::ntdll.dll  FF 24 95 3C 42 CA 77    jmp dword ptr [edx*4+0x77ca423c]
0x77CA4254::ntdll.dll  8A 06                   mov al, byte ptr [esi]
0x77CA4256::ntdll.dll  88 07                   mov byte ptr [edi], al
0x77CA4258::ntdll.dll  8B 45 08                mov eax, dword ptr [ebp+0x8]
0x77CA425B::ntdll.dll  5E                      pop esi
0x77CA425C::ntdll.dll  5F                      pop edi
0x77CA425D::ntdll.dll  C9                      leave 
0x77CA425E::ntdll.dll  C3                      ret 
0x77CCEB9B::ntdll.dll  83 C4 0C                add esp, 0xc
0x77CCEB9E::ntdll.dll  C6 44 1F 02 00          mov byte ptr [edi+ebx*1+0x2], 0x0
0x77CCEBA3::ntdll.dll  8B FB                   mov edi, ebx
0x77CCEBA5::ntdll.dll  83 65 9C 00             and dword ptr [ebp-0x64], 0x0
0x77CCEBA9::ntdll.dll  C7 45 A0 05 00 00 C0    mov dword ptr [ebp-0x60], 0xc0000005
0x77CCEBB0::ntdll.dll  80 3D 48 71 D4 77 00    cmp byte ptr [0x77d47148], 0x0
0x77CCEBB7::ntdll.dll  0F 84 F1 02 00 00       jz 0x77cceeae
0x77CCEBBD::ntdll.dll  83 65 FC 00             and dword ptr [ebp-0x4], 0x0
0x77CCEBC1::ntdll.dll  83 65 90 00             and dword ptr [ebp-0x70], 0x0
0x77CCEBC5::ntdll.dll  8D 45 94                lea eax, ptr [ebp-0x6c]
0x77CCEBC8::ntdll.dll  50                      push eax
0x77CCEBC9::ntdll.dll  FF 75 80                push dword ptr [ebp-0x80]
0x77CCEBCC::ntdll.dll  E8 6A D2 FF FF          call 0x77ccbe3b -> RtlImageNtHeader
0x77CCBE3B::ntdll.dll  8B FF                   mov edi, edi
0x77CCBE3D::ntdll.dll  55                      push ebp
0x77CCBE3E::ntdll.dll  8B EC                   mov ebp, esp
0x77CCBE40::ntdll.dll  A1 8C 78 D4 77          mov eax, dword ptr [0x77d4788c]
0x77CCBE45::ntdll.dll  B9 8C 78 D4 77          mov ecx, 0x77d4788c
0x77CCBE4A::ntdll.dll  3B C1                   cmp eax, ecx
0x77CCBE4C::ntdll.dll  0F 84 EA 4B FC FF       jz 0x77c90a3c
0x77CCBE52::ntdll.dll  8B 50 18                mov edx, dword ptr [eax+0x18]
0x77CCBE55::ntdll.dll  3B 55 08                cmp edx, dword ptr [ebp+0x8]
0x77CCBE58::ntdll.dll  74 04                   jz 0x77ccbe5e
0x77CCBE5A::ntdll.dll  8B 00                   mov eax, dword ptr [eax]
0x77CCBE5C::ntdll.dll  EB EC                   jmp 0x77ccbe4a
0x77CCBE4A::ntdll.dll  3B C1                   cmp eax, ecx
0x77CCBE4C::ntdll.dll  0F 84 EA 4B FC FF       jz 0x77c90a3c
0x77CCBE52::ntdll.dll  8B 50 18                mov edx, dword ptr [eax+0x18]
0x77CCBE55::ntdll.dll  3B 55 08                cmp edx, dword ptr [ebp+0x8]
0x77CCBE58::ntdll.dll  74 04                   jz 0x77ccbe5e
0x77CCBE5A::ntdll.dll  8B 00                   mov eax, dword ptr [eax]
0x77CCBE5C::ntdll.dll  EB EC                   jmp 0x77ccbe4a
0x77CCBE5E::ntdll.dll  83 78 08 00             cmp dword ptr [eax+0x8], 0x0
0x77CCBE62::ntdll.dll  74 F6                   jz 0x77ccbe5a
0x77CCBE64::ntdll.dll  8B 4D 0C                mov ecx, dword ptr [ebp+0xc]
0x77CCBE67::ntdll.dll  89 01                   mov dword ptr [ecx], eax
0x77CCBE69::ntdll.dll  B0 01                   mov al, 0x1
